id,height,weight,college,position,name,tackles_above_expected,star_1_made,star_1_missed,star_2_made,star_2_missed,star_3_made,star_3_missed,star_4_made,star_4_missed,star_5_made,star_5_missed,star_1_pct,star_2_pct,star_3_pct,star_4_pct,star_5_pct
54704,6-1,201,Yale,FS,Rodney Thomas,6.205330640518935,2,0,1,1,0,5,2,14,6,55,1,0.5,0,0.125,0.09836065573770492
43350,5-11,205,Ohio State,SS,Vonn Bell,2.0742351484092953,9,0,4,7,4,29,1,26,2,47,1,0.36363636363636365,0.12121212121212122,0.037037037037037035,0.04081632653061224
53641,6-1,195,Pittsburgh,SS,Damar Hamlin,6.470197217810909,3,1,7,5,4,11,3,13,2,56,0.75,0.5833333333333334,0.26666666666666666,0.1875,0.034482758620689655
46194,5-9,184,Pittsburgh,CB,Avonte Maddox,-4.6443408870191405,5,9,7,4,1,14,1,4,0,48,0.35714285714285715,0.6363636363636364,0.06666666666666667,0.2,0
52416,6-3,225,Clemson,DB,Isaiah Simmons,-1.4955193773964122,5,5,8,13,5,28,4,28,1,57,0.5,0.38095238095238093,0.15151515151515152,0.125,0.017241379310344827
53487,6-0,232,Missouri,ILB,Nick Bolton,5.191568285522448,9,3,7,6,7,16,4,40,3,66,0.75,0.5384615384615384,0.30434782608695654,0.09090909090909091,0.043478260869565216
42116,5-11,210,Texas,SS,Adrian Phillips,-2.582451711873074,5,4,4,6,5,10,3,18,1,51,0.5555555555555556,0.4,0.3333333333333333,0.14285714285714285,0.019230769230769232
44837,5-11,213,Michigan,SS,Jabrill Peppers,3.3163215535053068,2,1,5,1,4,5,3,12,0,22,0.6666666666666666,0.8333333333333334,0.4444444444444444,0.2,0
52527,6-3,219,Fresno State,ILB,Mykal Walker,1.0510068032512447,8,1,14,17,6,31,2,36,0,68,0.8888888888888888,0.45161290322580644,0.16216216216216217,0.05263157894736842,0
44827,6-1,212,Ohio State,FS,Malik Hooker,2.7002382294827143,3,1,7,3,5,8,3,34,0,46,0.75,0.7,0.38461538461538464,0.08108108108108109,0
46652,5-11,189,Georgia State,CB,Chandon Sullivan,-4.959796604965332,10,5,2,9,3,17,0,8,1,91,0.6666666666666666,0.18181818181818182,0.15,0,0.010869565217391304
45215,6-1,230,Cincinnati,OLB,Eric Wilson,-0.8621219746346274,0,0,0,1,1,2,0,1,0,1,,0,0.3333333333333333,0,0
54523,6-3,230,Montana State,ILB,Troy Andersen,1.659486773496118,2,2,8,5,4,10,3,6,0,28,0.5,0.6153846153846154,0.2857142857142857,0.3333333333333333,0
42929,6-2,242,Montana State,OLB,Alex Singleton,0.6551958746055356,10,6,9,7,4,13,5,17,0,29,0.625,0.5625,0.23529411764705882,0.22727272727272727,0
43387,6-2,202,Boston College,FS,Justin Simmons,-0.027718057670688134,3,3,4,4,5,7,0,20,1,37,0.5,0.5,0.4166666666666667,0,0.02631578947368421
42388,6-0,232,UCLA,ILB,Eric Kendricks,2.0767058866905415,6,3,5,11,8,25,4,38,2,64,0.6666666666666666,0.3125,0.24242424242424243,0.09523809523809523,0.030303030303030304
52613,6-0,210,Michigan,SS,Josh Metellus,1.1528418625196257,4,1,1,2,1,2,2,4,0,9,0.8,0.3333333333333333,0.3333333333333333,0.3333333333333333,0
47996,6-0,204,Texas A&amp;M,SS,Donovan Wilson,5.377987282512355,5,2,9,3,2,18,3,28,2,61,0.7142857142857143,0.75,0.1,0.0967741935483871,0.031746031746031744
53455,6-1,188,Northwestern,CB,Greg Newsome,-4.2199957279386835,3,5,5,8,0,18,1,16,1,52,0.375,0.38461538461538464,0,0.058823529411764705,0.018867924528301886
47929,6-2,203,Penn State,CB,Amani Oruwariye,-0.1647463614088186,9,7,5,5,1,11,1,13,1,39,0.5625,0.5,0.08333333333333333,0.07142857142857142,0.025
43407,6-0,212,North Carolina State,SS,Juston Burris,1.6281519693302138,3,0,0,1,1,8,2,12,2,30,1,0,0.1111111111111111,0.14285714285714285,0.0625
48241,5-10,200,South Carolina,CB,Keisean Nixon,-0.06181508228444699,4,0,1,6,1,5,0,3,0,18,1,0.14285714285714285,0.16666666666666666,0,0
53458,6-1,190,Georgia,CB,Eric Stokes,-1.2023268847681012,6,3,1,8,3,8,0,19,0,50,0.6666666666666666,0.1111111111111111,0.2727272727272727,0,0
53601,5-11,202,Oregon,CB,Deommodore Lenoir,-0.34433180957924137,8,3,8,11,2,18,1,9,1,51,0.7272727272727273,0.42105263157894735,0.1,0.1,0.019230769230769232
44815,6-2,280,Stanford,DT,Solomon Thomas,0.11682148872615905,0,0,0,0,0,3,1,10,0,37,,,0,0.09090909090909091,0
